piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/173.mid,2.666,2.666,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/174.mid,2.3685,2.8261,0.8187,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/175.mid,1.9602,2.9937,0.5286,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/176.mid,2.5283,3.098,0.5871,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/177.mid,2.4506,2.7222,0.525,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/178.mid,1.5925,2.8333,0.6395,0.96
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/179.mid,2.5811,3.1225,0.6588,0.9487
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/18.mid,2.0088,2.7789,0.6448,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/180.mid,1.7025,2.8713,0.5938,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/181.mid,2.2771,2.6734,0.75,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/182.mid,2.2359,2.2359,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/183.mid,2.2229,2.7646,0.7937,0.8438
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/184.mid,2.1165,2.5264,0.7788,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/185.mid,2.1131,2.6626,0.7679,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/186.mid,1.2072,2.5871,0.704,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/187.mid,0.5,1.371,0.6875,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/188.mid,2.2354,2.9157,0.7906,0.9524
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/189.mid,2.0884,2.843,0.6236,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/19.mid,1.8642,2.4762,0.5773,0.875
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/190.mid,2.2497,2.7481,0.675,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/191.mid,1.9991,2.6456,0.6273,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/192.mid,2.1242,2.8578,0.6477,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/193.mid,2.2547,2.9473,0.6652,0.875
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/194.mid,2.0307,2.6791,0.7504,0.9375
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/195.mid,1.994,3.1099,0.6653,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/196.mid,2.2511,2.8005,0.6903,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/197.mid,2.0966,2.6744,0.7674,0.875
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/198.mid,2.1035,2.9639,0.5521,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/199.mid,2.0856,2.6531,0.6354,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/2.mid,1.9282,2.947,0.6068,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/20.mid,2.1486,2.7055,0.6731,0.8667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/200.mid,1.9159,2.7835,0.6958,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/201.mid,1.9069,2.9593,0.6375,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/202.mid,1.898,2.5909,0.6186,0.9167
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/203.mid,1.8377,2.8369,0.6767,0.9643
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/204.mid,1.991,2.8278,0.6864,0.8824
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/205.mid,2.3036,2.9101,0.5513,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/208.mid,2.1248,2.9305,0.65,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/209.mid,2.3243,2.7125,0.7235,0.8571
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/21.mid,2.2128,2.9092,0.6227,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/210.mid,2.4396,3.0746,0.6364,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/211.mid,2.03,2.7614,0.6353,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/212.mid,2.2116,2.7512,0.781,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/213.mid,2.2812,2.7627,0.5345,0.8824
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/215.mid,2.4004,2.8665,0.6393,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/216.mid,0.4591,1.5219,0.6875,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/217.mid,2.1296,2.6815,0.6027,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/218.mid,1.9426,2.4745,0.625,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/219.mid,1.9616,2.945,0.6091,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/22.mid,2.1969,2.7692,0.669,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/220.mid,2.0358,2.5929,0.749,0.8667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/221.mid,1.8172,2.6114,0.6073,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/222.mid,2.1886,2.7752,0.6702,0.9286
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/223.mid,2.4667,2.9724,0.54,0.9118
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/224.mid,1.6886,2.6454,0.6833,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/225.mid,1.6736,2.7715,0.5833,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/227.mid,1.7958,1.9526,0.6389,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/228.mid,1.7881,2.5056,0.7188,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/229.mid,1.5,1.5,,-0.0
